#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2020-02-07, 13:10:44
# Real time (s): 526.195
# Live time (s): 300.000
#
# Total counts:  36300972
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  76200
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
214	411.903	2090	6.96667
215	413.946	2041	6.80333
216	415.988	2009	6.69667
217	418.030	2044	6.81333
218	420.072	2066	6.88667
219	422.114	2065	6.88333
220	424.156	2033	6.77667
221	426.199	2056	6.85333
222	428.241	2048	6.82667
223	430.283	2076	6.92
224	432.325	2078	6.92667
225	434.367	2085	6.95
226	436.409	1984	6.61333
227	438.452	2002	6.67333
228	440.494	2073	6.91
229	442.536	2096	6.98667
230	444.578	1990	6.63333
231	446.620	2096	6.98667
232	448.662	1992	6.64
233	450.705	2011	6.70333
234	452.747	2078	6.92667
235	454.789	2077	6.92333
236	456.831	2052	6.84
237	458.873	1990	6.63333
238	460.916	2063	6.87667
239	462.958	2022	6.74
240	465.000	2037	6.79
241	467.042	2069	6.89667
242	469.084	2039	6.79667
243	471.126	2031	6.77
244	473.169	2068	6.89333
245	475.211	2056	6.85333
246	477.253	2006	6.68667
247	479.295	2030	6.76667
248	481.337	2040	6.8
249	483.379	2048	6.82667
250	485.422	2052	6.84
251	487.464	2096	6.98667
252	489.506	2047	6.82333
253	491.548	1962	6.54
254	493.590	1929	6.43
255	495.632	2098	6.99333
256	497.675	1995	6.65
257	499.717	2040	6.8
258	501.759	2103	7.01
259	503.801	2075	6.91667
260	505.843	2051	6.83667
261	507.885	2033	6.77667
262	509.928	2093	6.97667
263	511.970	2073	6.91
264	514.012	2051	6.83667
265	516.054	2093	6.97667
266	518.096	2146	7.15333
267	520.138	2066	6.88667
268	522.181	2102	7.00667
269	524.223	2091	6.97
270	526.265	2095	6.98333
271	528.307	2145	7.15
272	530.349	2091	6.97
273	532.391	2060	6.86667
274	534.434	2104	7.01333
275	536.476	2116	7.05333
276	538.518	2266	7.55333
277	540.560	2092	6.97333
278	542.602	2103	7.01
279	544.644	2132	7.10667
280	546.687	2253	7.51
281	548.729	2159	7.19667
282	550.771	2170	7.23333
283	552.813	2206	7.35333
284	554.855	2117	7.05667
285	556.897	2184	7.28
286	558.940	2171	7.23667
287	560.982	2147	7.15667
288	563.024	2111	7.03667
289	565.066	2077	6.92333
290	567.108	2116	7.05333
291	569.150	2149	7.16333
292	571.193	2017	6.72333
293	573.235	1982	6.60667
294	575.277	1974	6.58
295	577.319	1879	6.26333
296	579.361	1839	6.13
297	581.403	1816	6.05333
298	583.446	1689	5.63
299	585.488	1638	5.46
300	587.530	1596	5.32
301	589.572	1529	5.09667
302	591.614	1376	4.58667
303	593.656	1444	4.81333
304	595.699	1322	4.40667
305	597.741	1197	3.99
306	599.783	1187	3.95667
307	601.825	1178	3.92667
308	603.867	1098	3.66
309	605.909	1042	3.47333
310	607.952	981	3.27
311	609.994	941	3.13667
312	612.036	872	2.90667
313	614.078	831	2.77
314	616.120	832	2.77333
315	618.162	806	2.68667
316	620.205	727	2.42333
317	622.247	715	2.38333
318	624.289	677	2.25667
319	626.331	667	2.22333
320	628.373	674	2.24667
321	630.415	627	2.09
322	632.458	618	2.06
323	634.500	607	2.02333
324	636.542	632	2.10667
325	638.584	509	1.69667
326	640.626	516	1.72
327	642.668	540	1.8
328	644.711	551	1.83667
329	646.753	519	1.73
330	648.795	448	1.49333
331	650.837	489	1.63
332	652.879	468	1.56
333	654.921	415	1.38333
334	656.964	461	1.53667
335	659.006	422	1.40667
336	661.048	402	1.34
337	663.090	422	1.40667
338	665.132	383	1.27667
339	667.174	372	1.24
340	669.217	361	1.20333
341	671.259	352	1.17333
342	673.301	350	1.16667
343	675.343	382	1.27333
344	677.385	342	1.14
345	679.427	337	1.12333
346	681.470	329	1.09667
347	683.512	283	0.943333
348	685.554	293	0.976667
349	687.596	286	0.953333
350	689.638	306	1.02
351	691.680	261	0.87
352	693.723	305	1.01667
353	695.765	274	0.913333
354	697.807	264	0.88
355	699.849	293	0.976667
356	701.891	244	0.813333
357	703.933	270	0.9
358	705.976	267	0.89
359	708.018	228	0.76
360	710.060	235	0.783333
361	712.102	262	0.873333
362	714.144	261	0.87
363	716.186	254	0.846667
364	718.229	269	0.896667
365	720.271	241	0.803333
366	722.313	239	0.796667
367	724.355	212	0.706667
368	726.397	272	0.906667
369	728.439	215	0.716667
370	730.482	220	0.733333
371	732.524	243	0.81
372	734.566	254	0.846667
373	736.608	227	0.756667
374	738.650	272	0.906667
375	740.692	230	0.766667
376	742.735	241	0.803333
377	744.777	236	0.786667
378	746.819	264	0.88
379	748.861	273	0.91
380	750.903	278	0.926667
381	752.945	271	0.903333
382	754.988	249	0.83
383	757.030	296	0.986667
384	759.072	319	1.06333
385	761.114	290	0.966667
386	763.156	293	0.976667
387	765.198	350	1.16667
388	767.241	389	1.29667
389	769.283	398	1.32667
390	771.325	424	1.41333
391	773.367	430	1.43333
392	775.409	535	1.78333
393	777.451	569	1.89667
394	779.494	653	2.17667
395	781.536	762	2.54
396	783.578	887	2.95667
397	785.620	1009	3.36333
398	787.662	1163	3.87667
399	789.704	1387	4.62333
400	791.747	1581	5.27
401	793.789	1739	5.79667
402	795.831	2149	7.16333
403	797.873	2474	8.24667
404	799.915	2868	9.56
405	801.957	3205	10.6833
406	804.000	3752	12.5067
407	806.042	4401	14.67
408	808.084	4820	16.0667
409	810.126	5539	18.4633
410	812.168	6045	20.15
411	814.210	6949	23.1633
412	816.253	7400	24.6667
413	818.295	8136	27.12
414	820.337	8970	29.9
415	822.379	9877	32.9233
416	824.421	10653	35.51
417	826.463	11582	38.6067
418	828.506	12145	40.4833
419	830.548	12938	43.1267
420	832.590	13485	44.95
421	834.632	14291	47.6367
422	836.674	14942	49.8067
423	838.716	15241	50.8033
424	840.759	15498	51.66
425	842.801	15697	52.3233
426	844.843	15696	52.32
427	846.885	16032	53.44
428	848.927	16030	53.4333
429	850.969	15236	50.7867
430	853.012	15178	50.5933
431	855.054	15080	50.2667
432	857.096	14362	47.8733
433	859.138	13711	45.7033
434	861.180	13011	43.37
435	863.222	12218	40.7267
436	865.265	11538	38.46
437	867.307	10739	35.7967
438	869.349	10020	33.4
439	871.391	8987	29.9567
440	873.433	8242	27.4733
441	875.475	7372	24.5733
442	877.518	6482	21.6067
443	879.560	5795	19.3167
444	881.602	5270	17.5667
445	883.644	4566	15.22
446	885.686	3865	12.8833
447	887.728	3257	10.8567
448	889.771	2920	9.73333
449	891.813	2432	8.10667
450	893.855	1974	6.58
451	895.897	1719	5.73
452	897.939	1375	4.58333
453	899.981	1137	3.79
454	902.024	900	3
455	904.066	658	2.19333
456	906.108	573	1.91
457	908.150	417	1.39
458	910.192	340	1.13333
459	912.235	272	0.906667
460	914.277	212	0.706667
461	916.319	144	0.48
462	918.361	123	0.41
463	920.403	83	0.276667
464	922.445	69	0.23
465	924.488	63	0.21
466	926.530	52	0.173333
467	928.572	36	0.12
468	930.614	24	0.08
469	932.656	28	0.0933333
470	934.698	19	0.0633333
471	936.741	19	0.0633333
472	938.783	13	0.0433333
473	940.825	12	0.04
474	942.867	13	0.0433333
475	944.909	9	0.03
476	946.951	10	0.0333333
477	948.994	16	0.0533333
478	951.036	11	0.0366667
479	953.078	14	0.0466667
480	955.120	8	0.0266667
481	957.162	10	0.0333333
482	959.204	13	0.0433333
483	961.247	17	0.0566667
484	963.289	9	0.03
485	965.331	7	0.0233333
486	967.373	14	0.0466667
487	969.415	10	0.0333333
488	971.457	13	0.0433333
489	973.500	5	0.0166667
490	975.542	11	0.0366667
491	977.584	12	0.04
492	979.626	8	0.0266667
493	981.668	12	0.04
494	983.710	17	0.0566667
495	985.753	9	0.03
496	987.795	13	0.0433333
497	989.837	11	0.0366667
498	991.879	10	0.0333333
499	993.921	11	0.0366667
500	995.963	10	0.0333333
501	998.006	14	0.0466667
502	1000.048	13	0.0433333
503	1002.090	7	0.0233333
504	1004.132	6	0.02
505	1006.174	20	0.0666667
506	1008.216	15	0.05
507	1010.259	9	0.03
508	1012.301	7	0.0233333
509	1014.343	11	0.0366667
510	1016.385	7	0.0233333
511	1018.427	16	0.0533333
512	1020.469	12	0.04
513	1022.512	9	0.03
514	1024.554	14	0.0466667
515	1026.596	9	0.03
516	1028.638	14	0.0466667
517	1030.680	10	0.0333333
518	1032.722	11	0.0366667
519	1034.765	9	0.03
520	1036.807	16	0.0533333
521	1038.849	10	0.0333333
522	1040.891	12	0.04
523	1042.933	7	0.0233333
524	1044.975	7	0.0233333
525	1047.018	14	0.0466667
526	1049.060	14	0.0466667
527	1051.102	8	0.0266667
528	1053.144	9	0.03
529	1055.186	8	0.0266667
530	1057.228	10	0.0333333
531	1059.271	12	0.04
532	1061.313	7	0.0233333
533	1063.355	10	0.0333333
534	1065.397	9	0.03
535	1067.439	15	0.05
536	1069.481	10	0.0333333
537	1071.524	11	0.0366667
538	1073.566	11	0.0366667
539	1075.608	15	0.05
540	1077.650	10	0.0333333
541	1079.692	14	0.0466667
542	1081.734	17	0.0566667
543	1083.777	11	0.0366667
544	1085.819	12	0.04
545	1087.861	14	0.0466667
546	1089.903	11	0.0366667
547	1091.945	11	0.0366667
548	1093.987	13	0.0433333
549	1096.030	11	0.0366667
550	1098.072	13	0.0433333
551	1100.114	14	0.0466667
552	1102.156	8	0.0266667
553	1104.198	11	0.0366667
554	1106.240	15	0.05
555	1108.283	11	0.0366667
556	1110.325	11	0.0366667
557	1112.367	7	0.0233333
558	1114.409	13	0.0433333
559	1116.451	11	0.0366667
560	1118.493	7	0.0233333
561	1120.536	14	0.0466667
562	1122.578	9	0.03
563	1124.620	9	0.03
564	1126.662	12	0.04
565	1128.704	8	0.0266667
566	1130.746	9	0.03
567	1132.789	7	0.0233333
568	1134.831	12	0.04
569	1136.873	9	0.03
570	1138.915	6	0.02
571	1140.957	3	0.01
572	1142.999	12	0.04
573	1145.042	9	0.03
574	1147.084	8	0.0266667
575	1149.126	16	0.0533333
576	1151.168	9	0.03
577	1153.210	8	0.0266667
578	1155.252	8	0.0266667
579	1157.295	6	0.02
580	1159.337	12	0.04
581	1161.379	13	0.0433333
582	1163.421	9	0.03
583	1165.463	11	0.0366667
584	1167.505	14	0.0466667
585	1169.548	7	0.0233333
586	1171.590	9	0.03
587	1173.632	12	0.04
588	1175.674	6	0.02
589	1177.716	11	0.0366667
590	1179.758	12	0.04
591	1181.801	8	0.0266667
592	1183.843	5	0.0166667
593	1185.885	8	0.0266667
594	1187.927	9	0.03
595	1189.969	4	0.0133333
596	1192.011	6	0.02
597	1194.054	7	0.0233333
598	1196.096	11	0.0366667
599	1198.138	7	0.0233333
600	1200.180	11	0.0366667
601	1202.222	8	0.0266667
602	1204.264	7	0.0233333
603	1206.307	6	0.02
604	1208.349	13	0.0433333
605	1210.391	6	0.02
606	1212.433	13	0.0433333
607	1214.475	10	0.0333333
608	1216.517	9	0.03
609	1218.560	11	0.0366667
610	1220.602	7	0.0233333
611	1222.644	14	0.0466667
612	1224.686	3	0.01
613	1226.728	5	0.0166667
614	1228.770	7	0.0233333
615	1230.813	8	0.0266667
616	1232.855	10	0.0333333
617	1234.897	4	0.0133333
618	1236.939	13	0.0433333
619	1238.981	6	0.02
620	1241.023	7	0.0233333
621	1243.066	6	0.02
622	1245.108	5	0.0166667
623	1247.150	5	0.0166667
624	1249.192	5	0.0166667
625	1251.234	10	0.0333333
626	1253.276	6	0.02
627	1255.319	8	0.0266667
628	1257.361	3	0.01
629	1259.403	6	0.02
630	1261.445	8	0.0266667
631	1263.487	7	0.0233333
632	1265.529	8	0.0266667
633	1267.572	7	0.0233333
634	1269.614	8	0.0266667
635	1271.656	7	0.0233333
636	1273.698	6	0.02
637	1275.740	6	0.02
638	1277.782	7	0.0233333
639	1279.825	5	0.0166667
640	1281.867	9	0.03
641	1283.909	4	0.0133333
642	1285.951	4	0.0133333
643	1287.993	13	0.0433333
644	1290.035	3	0.01
645	1292.078	5	0.0166667
646	1294.120	6	0.02
647	1296.162	7	0.0233333
648	1298.204	4	0.0133333
649	1300.246	7	0.0233333
650	1302.288	5	0.0166667
651	1304.331	7	0.0233333
652	1306.373	13	0.0433333
653	1308.415	7	0.0233333
654	1310.457	5	0.0166667
655	1312.499	8	0.0266667
656	1314.541	7	0.0233333
657	1316.584	6	0.02
658	1318.626	9	0.03
659	1320.668	12	0.04
660	1322.710	5	0.0166667
661	1324.752	4	0.0133333
662	1326.794	5	0.0166667
663	1328.837	9	0.03
664	1330.879	5	0.0166667
665	1332.921	11	0.0366667
666	1334.963	6	0.02
667	1337.005	10	0.0333333
668	1339.047	4	0.0133333
669	1341.090	4	0.0133333
670	1343.132	5	0.0166667
671	1345.174	12	0.04
672	1347.216	7	0.0233333
673	1349.258	5	0.0166667
674	1351.300	5	0.0166667
675	1353.343	8	0.0266667
676	1355.385	7	0.0233333
677	1357.427	10	0.0333333
678	1359.469	13	0.0433333
679	1361.511	5	0.0166667
680	1363.554	9	0.03
681	1365.596	9	0.03
682	1367.638	15	0.05
683	1369.680	9	0.03
684	1371.722	7	0.0233333
685	1373.764	13	0.0433333
686	1375.807	10	0.0333333
687	1377.849	17	0.0566667
688	1379.891	7	0.0233333
689	1381.933	17	0.0566667
690	1383.975	15	0.05
691	1386.017	8	0.0266667
692	1388.060	6	0.02
693	1390.102	17	0.0566667
694	1392.144	20	0.0666667
695	1394.186	18	0.06
696	1396.228	16	0.0533333
697	1398.270	17	0.0566667
698	1400.313	12	0.04
699	1402.355	16	0.0533333
700	1404.397	13	0.0433333
701	1406.439	10	0.0333333
702	1408.481	14	0.0466667
703	1410.523	20	0.0666667
704	1412.566	17	0.0566667
705	1414.608	18	0.06
706	1416.650	16	0.0533333
707	1418.692	23	0.0766667
708	1420.734	21	0.07
709	1422.776	22	0.0733333
710	1424.819	19	0.0633333
711	1426.861	12	0.04
712	1428.903	21	0.07
713	1430.945	9	0.03
714	1432.987	14	0.0466667
715	1435.029	24	0.08
716	1437.072	16	0.0533333
717	1439.114	16	0.0533333
718	1441.156	10	0.0333333
719	1443.198	12	0.04
720	1445.240	15	0.05
721	1447.282	13	0.0433333
722	1449.325	14	0.0466667
723	1451.367	12	0.04
724	1453.409	14	0.0466667
725	1455.451	13	0.0433333
726	1457.493	11	0.0366667
727	1459.535	10	0.0333333
728	1461.578	10	0.0333333
729	1463.620	10	0.0333333
730	1465.662	11	0.0366667
731	1467.704	5	0.0166667
732	1469.746	6	0.02
733	1471.788	6	0.02
734	1473.831	9	0.03
735	1475.873	8	0.0266667
736	1477.915	6	0.02
737	1479.957	5	0.0166667
738	1481.999	4	0.0133333
739	1484.041	6	0.02
740	1486.084	9	0.03
741	1488.126	4	0.0133333
742	1490.168	6	0.02
743	1492.210	3	0.01
744	1494.252	6	0.02
745	1496.294	8	0.0266667
746	1498.337	5	0.0166667
747	1500.379	4	0.0133333
748	1502.421	4	0.0133333
749	1504.463	6	0.02
750	1506.505	4	0.0133333
751	1508.547	4	0.0133333
752	1510.590	7	0.0233333
753	1512.632	3	0.01
754	1514.674	3	0.01
755	1516.716	3	0.01
756	1518.758	4	0.0133333
757	1520.800	2	0.00666667
758	1522.843	3	0.01
759	1524.885	5	0.0166667
760	1526.927	2	0.00666667
761	1528.969	1	0.00333333
762	1531.011	3	0.01
763	1533.053	3	0.01
764	1535.096	0	0
765	1537.138	3	0.01
766	1539.180	2	0.00666667
767	1541.222	5	0.0166667
768	1543.264	1	0.00333333
769	1545.306	0	0
770	1547.349	1	0.00333333
771	1549.391	5	0.0166667
772	1551.433	3	0.01
773	1553.475	3	0.01
774	1555.517	4	0.0133333
775	1557.559	5	0.0166667
776	1559.602	2	0.00666667
777	1561.644	1	0.00333333
778	1563.686	5	0.0166667
779	1565.728	2	0.00666667
780	1567.770	4	0.0133333
781	1569.812	4	0.0133333
782	1571.855	2	0.00666667
783	1573.897	8	0.0266667
784	1575.939	2	0.00666667
785	1577.981	5	0.0166667
786	1580.023	3	0.01
787	1582.065	5	0.0166667
788	1584.108	0	0
789	1586.150	3	0.01
790	1588.192	0	0
791	1590.234	4	0.0133333
792	1592.276	4	0.0133333
793	1594.318	0	0
794	1596.361	2	0.00666667
795	1598.403	6	0.02
796	1600.445	6	0.02
797	1602.487	7	0.0233333
798	1604.529	3	0.01
799	1606.571	3	0.01
800	1608.614	4	0.0133333
801	1610.656	3	0.01
802	1612.698	2	0.00666667
803	1614.740	5	0.0166667
804	1616.782	6	0.02
805	1618.824	5	0.0166667
806	1620.867	3	0.01
807	1622.909	6	0.02
808	1624.951	4	0.0133333
809	1626.993	8	0.0266667
810	1629.035	5	0.0166667
811	1631.077	9	0.03
812	1633.120	6	0.02
813	1635.162	4	0.0133333
814	1637.204	3	0.01
815	1639.246	5	0.0166667
816	1641.288	8	0.0266667
817	1643.330	8	0.0266667
818	1645.373	5	0.0166667
819	1647.415	2	0.00666667
820	1649.457	10	0.0333333
821	1651.499	4	0.0133333
822	1653.541	5	0.0166667
823	1655.583	8	0.0266667
824	1657.626	4	0.0133333
825	1659.668	7	0.0233333
826	1661.710	9	0.03
827	1663.752	4	0.0133333
828	1665.794	1	0.00333333
829	1667.836	7	0.0233333
830	1669.879	6	0.02
831	1671.921	7	0.0233333
832	1673.963	10	0.0333333
833	1676.005	6	0.02
834	1678.047	7	0.0233333
835	1680.089	7	0.0233333
836	1682.132	15	0.05
837	1684.174	9	0.03
838	1686.216	11	0.0366667
839	1688.258	7	0.0233333
840	1690.300	4	0.0133333
841	1692.342	11	0.0366667
842	1694.385	8	0.0266667
843	1696.427	8	0.0266667
844	1698.469	6	0.02
845	1700.511	9	0.03
846	1702.553	12	0.04
847	1704.595	5	0.0166667
848	1706.638	3	0.01
849	1708.680	7	0.0233333
850	1710.722	3	0.01
851	1712.764	7	0.0233333
852	1714.806	8	0.0266667
853	1716.848	7	0.0233333
854	1718.891	6	0.02
855	1720.933	9	0.03
856	1722.975	9	0.03
857	1725.017	5	0.0166667
858	1727.059	12	0.04
859	1729.101	5	0.0166667
860	1731.144	5	0.0166667
861	1733.186	6	0.02
862	1735.228	5	0.0166667
