#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2020-02-07, 13:45:52
# Real time (s): 535.027
# Live time (s): 300.000
#
# Total counts:  37448269
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  292
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
222	428.241	10	0.0333333
223	430.283	11	0.0366667
224	432.325	10	0.0333333
225	434.367	12	0.04
226	436.409	11	0.0366667
227	438.452	7	0.0233333
228	440.494	10	0.0333333
229	442.536	10	0.0333333
230	444.578	4	0.0133333
231	446.620	6	0.02
232	448.662	7	0.0233333
233	450.705	10	0.0333333
234	452.747	7	0.0233333
235	454.789	7	0.0233333
236	456.831	9	0.03
237	458.873	10	0.0333333
238	460.916	10	0.0333333
239	462.958	11	0.0366667
240	465.000	10	0.0333333
241	467.042	11	0.0366667
242	469.084	11	0.0366667
243	471.126	5	0.0166667
244	473.169	9	0.03
245	475.211	7	0.0233333
246	477.253	3	0.01
247	479.295	4	0.0133333
248	481.337	9	0.03
249	483.379	5	0.0166667
250	485.422	14	0.0466667
251	487.464	7	0.0233333
252	489.506	9	0.03
253	491.548	12	0.04
254	493.590	10	0.0333333
255	495.632	6	0.02
256	497.675	4	0.0133333
257	499.717	7	0.0233333
258	501.759	5	0.0166667
259	503.801	6	0.02
260	505.843	11	0.0366667
261	507.885	10	0.0333333
262	509.928	8	0.0266667
263	511.970	7	0.0233333
264	514.012	9	0.03
265	516.054	4	0.0133333
266	518.096	6	0.02
267	520.138	4	0.0133333
268	522.181	6	0.02
269	524.223	8	0.0266667
270	526.265	10	0.0333333
271	528.307	10	0.0333333
272	530.349	13	0.0433333
273	532.391	7	0.0233333
274	534.434	4	0.0133333
275	536.476	6	0.02
276	538.518	2	0.00666667
277	540.560	4	0.0133333
278	542.602	4	0.0133333
279	544.644	10	0.0333333
280	546.687	4	0.0133333
281	548.729	6	0.02
282	550.771	5	0.0166667
283	552.813	9	0.03
284	554.855	3	0.01
285	556.897	5	0.0166667
286	558.940	10	0.0333333
287	560.982	1	0.00333333
288	563.024	10	0.0333333
289	565.066	1	0.00333333
290	567.108	9	0.03
291	569.150	7	0.0233333
292	571.193	3	0.01
293	573.235	7	0.0233333
294	575.277	11	0.0366667
295	577.319	9	0.03
296	579.361	7	0.0233333
297	581.403	10	0.0333333
298	583.446	3	0.01
299	585.488	9	0.03
300	587.530	3	0.01
301	589.572	4	0.0133333
302	591.614	6	0.02
303	593.656	7	0.0233333
304	595.699	10	0.0333333
305	597.741	4	0.0133333
306	599.783	6	0.02
307	601.825	6	0.02
308	603.867	5	0.0166667
309	605.909	4	0.0133333
310	607.952	6	0.02
311	609.994	7	0.0233333
312	612.036	7	0.0233333
313	614.078	8	0.0266667
314	616.120	7	0.0233333
315	618.162	3	0.01
316	620.205	8	0.0266667
317	622.247	5	0.0166667
318	624.289	7	0.0233333
319	626.331	9	0.03
320	628.373	10	0.0333333
321	630.415	5	0.0166667
322	632.458	5	0.0166667
323	634.500	6	0.02
324	636.542	7	0.0233333
325	638.584	5	0.0166667
326	640.626	5	0.0166667
327	642.668	10	0.0333333
328	644.711	5	0.0166667
329	646.753	9	0.03
330	648.795	10	0.0333333
331	650.837	4	0.0133333
332	652.879	9	0.03
333	654.921	6	0.02
334	656.964	2	0.00666667
335	659.006	10	0.0333333
336	661.048	6	0.02
337	663.090	3	0.01
338	665.132	9	0.03
339	667.174	10	0.0333333
340	669.217	4	0.0133333
341	671.259	7	0.0233333
342	673.301	6	0.02
343	675.343	7	0.0233333
344	677.385	3	0.01
345	679.427	3	0.01
346	681.470	4	0.0133333
347	683.512	6	0.02
348	685.554	4	0.0133333
349	687.596	3	0.01
350	689.638	8	0.0266667
351	691.680	6	0.02
352	693.723	4	0.0133333
353	695.765	5	0.0166667
354	697.807	4	0.0133333
