#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2020-02-07, 13:34:20
# Real time (s): 530.628
# Live time (s): 300.000
#
# Total counts:  36992665
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  1173
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
229	442.536	27	0.09
230	444.578	29	0.0966667
231	446.620	26	0.0866667
232	448.662	30	0.1
233	450.705	38	0.126667
234	452.747	35	0.116667
235	454.789	30	0.1
236	456.831	31	0.103333
237	458.873	25	0.0833333
238	460.916	37	0.123333
239	462.958	36	0.12
240	465.000	29	0.0966667
241	467.042	31	0.103333
242	469.084	28	0.0933333
243	471.126	32	0.106667
244	473.169	37	0.123333
245	475.211	26	0.0866667
246	477.253	24	0.08
247	479.295	35	0.116667
248	481.337	34	0.113333
249	483.379	35	0.116667
250	485.422	28	0.0933333
251	487.464	31	0.103333
252	489.506	34	0.113333
253	491.548	27	0.09
254	493.590	36	0.12
255	495.632	34	0.113333
256	497.675	24	0.08
257	499.717	34	0.113333
258	501.759	26	0.0866667
259	503.801	24	0.08
260	505.843	34	0.113333
261	507.885	36	0.12
262	509.928	27	0.09
263	511.970	41	0.136667
264	514.012	38	0.126667
265	516.054	26	0.0866667
266	518.096	32	0.106667
267	520.138	29	0.0966667
268	522.181	28	0.0933333
269	524.223	29	0.0966667
270	526.265	33	0.11
271	528.307	41	0.136667
272	530.349	34	0.113333
273	532.391	27	0.09
274	534.434	36	0.12
275	536.476	32	0.106667
276	538.518	34	0.113333
277	540.560	35	0.116667
278	542.602	26	0.0866667
279	544.644	34	0.113333
280	546.687	29	0.0966667
281	548.729	33	0.11
282	550.771	23	0.0766667
283	552.813	26	0.0866667
284	554.855	21	0.07
285	556.897	27	0.09
286	558.940	31	0.103333
287	560.982	29	0.0966667
288	563.024	30	0.1
289	565.066	34	0.113333
290	567.108	32	0.106667
291	569.150	34	0.113333
292	571.193	19	0.0633333
293	573.235	36	0.12
294	575.277	31	0.103333
295	577.319	30	0.1
296	579.361	24	0.08
297	581.403	26	0.0866667
298	583.446	29	0.0966667
299	585.488	37	0.123333
300	587.530	31	0.103333
301	589.572	25	0.0833333
302	591.614	25	0.0833333
303	593.656	27	0.09
304	595.699	28	0.0933333
305	597.741	34	0.113333
306	599.783	25	0.0833333
307	601.825	26	0.0866667
308	603.867	32	0.106667
309	605.909	31	0.103333
310	607.952	22	0.0733333
311	609.994	31	0.103333
312	612.036	19	0.0633333
313	614.078	20	0.0666667
314	616.120	25	0.0833333
315	618.162	32	0.106667
316	620.205	36	0.12
317	622.247	33	0.11
318	624.289	36	0.12
319	626.331	29	0.0966667
320	628.373	32	0.106667
321	630.415	29	0.0966667
322	632.458	26	0.0866667
323	634.500	28	0.0933333
324	636.542	28	0.0933333
325	638.584	32	0.106667
326	640.626	34	0.113333
327	642.668	30	0.1
328	644.711	34	0.113333
329	646.753	31	0.103333
330	648.795	42	0.14
331	650.837	31	0.103333
332	652.879	30	0.1
333	654.921	33	0.11
334	656.964	31	0.103333
335	659.006	40	0.133333
336	661.048	34	0.113333
337	663.090	32	0.106667
338	665.132	36	0.12
339	667.174	32	0.106667
340	669.217	30	0.1
341	671.259	30	0.1
342	673.301	25	0.0833333
343	675.343	37	0.123333
344	677.385	32	0.106667
345	679.427	36	0.12
346	681.470	28	0.0933333
347	683.512	25	0.0833333
348	685.554	41	0.136667
349	687.596	29	0.0966667
350	689.638	29	0.0966667
351	691.680	21	0.07
352	693.723	35	0.116667
353	695.765	26	0.0866667
354	697.807	23	0.0766667
355	699.849	28	0.0933333
356	701.891	30	0.1
357	703.933	31	0.103333
358	705.976	44	0.146667
359	708.018	33	0.11
360	710.060	31	0.103333
361	712.102	37	0.123333
362	714.144	28	0.0933333
363	716.186	28	0.0933333
364	718.229	41	0.136667
365	720.271	29	0.0966667
366	722.313	48	0.16
367	724.355	27	0.09
368	726.397	39	0.13
369	728.439	25	0.0833333
370	730.482	34	0.113333
371	732.524	27	0.09
372	734.566	40	0.133333
373	736.608	32	0.106667
374	738.650	34	0.113333
375	740.692	28	0.0933333
376	742.735	33	0.11
377	744.777	38	0.126667
378	746.819	36	0.12
379	748.861	24	0.08
380	750.903	31	0.103333
381	752.945	42	0.14
382	754.988	36	0.12
383	757.030	42	0.14
384	759.072	32	0.106667
385	761.114	29	0.0966667
386	763.156	30	0.1
387	765.198	26	0.0866667
388	767.241	24	0.08
389	769.283	29	0.0966667
390	771.325	24	0.08
391	773.367	34	0.113333
392	775.409	28	0.0933333
393	777.451	24	0.08
394	779.494	30	0.1
395	781.536	30	0.1
396	783.578	22	0.0733333
397	785.620	24	0.08
398	787.662	24	0.08
399	789.704	21	0.07
400	791.747	17	0.0566667
401	793.789	22	0.0733333
402	795.831	20	0.0666667
403	797.873	20	0.0666667
404	799.915	22	0.0733333
405	801.957	16	0.0533333
406	804.000	10	0.0333333
407	806.042	18	0.06
408	808.084	18	0.06
409	810.126	15	0.05
410	812.168	22	0.0733333
411	814.210	14	0.0466667
412	816.253	21	0.07
413	818.295	17	0.0566667
414	820.337	17	0.0566667
415	822.379	19	0.0633333
416	824.421	15	0.05
417	826.463	15	0.05
418	828.506	17	0.0566667
419	830.548	12	0.04
420	832.590	10	0.0333333
421	834.632	14	0.0466667
422	836.674	16	0.0533333
423	838.716	17	0.0566667
424	840.759	15	0.05
425	842.801	13	0.0433333
426	844.843	14	0.0466667
427	846.885	13	0.0433333
428	848.927	8	0.0266667
429	850.969	12	0.04
