#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2020-02-07, 13:56:12
# Real time (s): 551.195
# Live time (s): 300.000
#
# Total counts:  38592908
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  81372
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
214	411.903	2528	8.42667
215	413.946	2489	8.29667
216	415.988	2501	8.33667
217	418.030	2437	8.12333
218	420.072	2387	7.95667
219	422.114	2443	8.14333
220	424.156	2317	7.72333
221	426.199	2343	7.81
222	428.241	2421	8.07
223	430.283	2352	7.84
224	432.325	2398	7.99333
225	434.367	2280	7.6
226	436.409	2389	7.96333
227	438.452	2331	7.77
228	440.494	2353	7.84333
229	442.536	2334	7.78
230	444.578	2351	7.83667
231	446.620	2259	7.53
232	448.662	2284	7.61333
233	450.705	2326	7.75333
234	452.747	2344	7.81333
235	454.789	2317	7.72333
236	456.831	2261	7.53667
237	458.873	2344	7.81333
238	460.916	2252	7.50667
239	462.958	2282	7.60667
240	465.000	2267	7.55667
241	467.042	2306	7.68667
242	469.084	2310	7.7
243	471.126	2252	7.50667
244	473.169	2348	7.82667
245	475.211	2197	7.32333
246	477.253	2267	7.55667
247	479.295	2247	7.49
248	481.337	2214	7.38
249	483.379	2183	7.27667
250	485.422	2113	7.04333
251	487.464	2228	7.42667
252	489.506	2208	7.36
253	491.548	2191	7.30333
254	493.590	2205	7.35
255	495.632	2124	7.08
256	497.675	2130	7.1
257	499.717	2126	7.08667
258	501.759	2271	7.57
259	503.801	2168	7.22667
260	505.843	2200	7.33333
261	507.885	2101	7.00333
262	509.928	2207	7.35667
263	511.970	2207	7.35667
264	514.012	2168	7.22667
265	516.054	2186	7.28667
266	518.096	2173	7.24333
267	520.138	2101	7.00333
268	522.181	2197	7.32333
269	524.223	2171	7.23667
270	526.265	2195	7.31667
271	528.307	2146	7.15333
272	530.349	2134	7.11333
273	532.391	2184	7.28
274	534.434	2113	7.04333
275	536.476	2159	7.19667
276	538.518	2101	7.00333
277	540.560	2106	7.02
278	542.602	2052	6.84
279	544.644	2138	7.12667
280	546.687	2142	7.14
281	548.729	2107	7.02333
282	550.771	2133	7.11
283	552.813	2007	6.69
284	554.855	2125	7.08333
285	556.897	2063	6.87667
286	558.940	2089	6.96333
287	560.982	2152	7.17333
288	563.024	2166	7.22
289	565.066	2039	6.79667
290	567.108	2119	7.06333
291	569.150	2167	7.22333
292	571.193	2154	7.18
293	573.235	2120	7.06667
294	575.277	2104	7.01333
295	577.319	2091	6.97
296	579.361	2131	7.10333
297	581.403	2078	6.92667
298	583.446	2117	7.05667
299	585.488	2069	6.89667
300	587.530	2106	7.02
301	589.572	2156	7.18667
302	591.614	2160	7.2
303	593.656	2163	7.21
304	595.699	2104	7.01333
305	597.741	2136	7.12
306	599.783	2101	7.00333
307	601.825	2044	6.81333
308	603.867	2063	6.87667
309	605.909	2041	6.80333
310	607.952	2153	7.17667
311	609.994	2073	6.91
312	612.036	2103	7.01
313	614.078	2044	6.81333
314	616.120	2141	7.13667
315	618.162	2081	6.93667
316	620.205	2154	7.18
317	622.247	2063	6.87667
318	624.289	2076	6.92
319	626.331	2066	6.88667
320	628.373	2166	7.22
321	630.415	2093	6.97667
322	632.458	2097	6.99
323	634.500	2189	7.29667
324	636.542	2094	6.98
325	638.584	2084	6.94667
326	640.626	2098	6.99333
327	642.668	2056	6.85333
328	644.711	2156	7.18667
329	646.753	2175	7.25
330	648.795	2104	7.01333
331	650.837	2076	6.92
332	652.879	2072	6.90667
333	654.921	2042	6.80667
334	656.964	2184	7.28
335	659.006	2122	7.07333
336	661.048	2161	7.20333
337	663.090	2064	6.88
338	665.132	2039	6.79667
339	667.174	2092	6.97333
340	669.217	2138	7.12667
341	671.259	2139	7.13
342	673.301	2110	7.03333
343	675.343	2161	7.20333
344	677.385	2123	7.07667
345	679.427	2131	7.10333
346	681.470	2122	7.07333
347	683.512	2081	6.93667
348	685.554	2051	6.83667
349	687.596	2073	6.91
350	689.638	2155	7.18333
351	691.680	2109	7.03
352	693.723	2076	6.92
353	695.765	2086	6.95333
354	697.807	2117	7.05667
355	699.849	2099	6.99667
356	701.891	2071	6.90333
357	703.933	1999	6.66333
358	705.976	2027	6.75667
359	708.018	2150	7.16667
360	710.060	2096	6.98667
361	712.102	2043	6.81
362	714.144	2075	6.91667
363	716.186	2056	6.85333
364	718.229	2163	7.21
365	720.271	2122	7.07333
366	722.313	2130	7.1
367	724.355	2058	6.86
368	726.397	2078	6.92667
369	728.439	2082	6.94
370	730.482	2098	6.99333
371	732.524	2063	6.87667
372	734.566	2144	7.14667
373	736.608	2073	6.91
374	738.650	2091	6.97
375	740.692	2080	6.93333
376	742.735	2078	6.92667
377	744.777	2083	6.94333
378	746.819	2144	7.14667
379	748.861	2092	6.97333
380	750.903	2105	7.01667
381	752.945	2048	6.82667
382	754.988	2082	6.94
383	757.030	2107	7.02333
384	759.072	2050	6.83333
385	761.114	2057	6.85667
386	763.156	2014	6.71333
387	765.198	2086	6.95333
388	767.241	2152	7.17333
389	769.283	2073	6.91
390	771.325	2118	7.06
391	773.367	2030	6.76667
392	775.409	2135	7.11667
393	777.451	2137	7.12333
394	779.494	2035	6.78333
395	781.536	2078	6.92667
396	783.578	2094	6.98
397	785.620	1995	6.65
398	787.662	2135	7.11667
399	789.704	2059	6.86333
400	791.747	2130	7.1
401	793.789	2051	6.83667
402	795.831	2163	7.21
403	797.873	2052	6.84
404	799.915	2020	6.73333
405	801.957	2115	7.05
406	804.000	2039	6.79667
407	806.042	2173	7.24333
408	808.084	2088	6.96
409	810.126	2063	6.87667
410	812.168	2092	6.97333
411	814.210	2130	7.1
412	816.253	2043	6.81
413	818.295	2162	7.20667
414	820.337	2152	7.17333
415	822.379	2146	7.15333
416	824.421	2142	7.14
417	826.463	2136	7.12
418	828.506	2042	6.80667
419	830.548	2150	7.16667
420	832.590	2136	7.12
421	834.632	2203	7.34333
422	836.674	2105	7.01667
423	838.716	2183	7.27667
424	840.759	2079	6.93
425	842.801	2212	7.37333
426	844.843	2109	7.03
427	846.885	2150	7.16667
428	848.927	2154	7.18
429	850.969	2230	7.43333
430	853.012	2141	7.13667
431	855.054	2205	7.35
432	857.096	2190	7.3
433	859.138	2207	7.35667
434	861.180	2265	7.55
435	863.222	2193	7.31
436	865.265	2196	7.32
437	867.307	2072	6.90667
438	869.349	2172	7.24
439	871.391	2181	7.27
440	873.433	2140	7.13333
441	875.475	2172	7.24
442	877.518	2152	7.17333
443	879.560	2226	7.42
444	881.602	2224	7.41333
445	883.644	2227	7.42333
446	885.686	2181	7.27
447	887.728	2146	7.15333
448	889.771	2295	7.65
449	891.813	2160	7.2
450	893.855	2169	7.23
