#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2020-02-07, 13:22:19
# Real time (s): 535.334
# Live time (s): 300.000
#
# Total counts:  37052941
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  34545
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
214	411.903	2354	7.84667
215	413.946	2153	7.17667
216	415.988	2055	6.85
217	418.030	2049	6.83
218	420.072	1907	6.35667
219	422.114	1826	6.08667
220	424.156	1831	6.10333
221	426.199	1700	5.66667
222	428.241	1639	5.46333
223	430.283	1599	5.33
224	432.325	1523	5.07667
225	434.367	1472	4.90667
226	436.409	1514	5.04667
227	438.452	1390	4.63333
228	440.494	1416	4.72
229	442.536	1377	4.59
230	444.578	1367	4.55667
231	446.620	1314	4.38
232	448.662	1230	4.1
233	450.705	1219	4.06333
234	452.747	1126	3.75333
235	454.789	1158	3.86
236	456.831	1205	4.01667
237	458.873	1143	3.81
238	460.916	1114	3.71333
239	462.958	1150	3.83333
240	465.000	1135	3.78333
241	467.042	1071	3.57
242	469.084	1014	3.38
243	471.126	1073	3.57667
244	473.169	1051	3.50333
245	475.211	1029	3.43
246	477.253	1013	3.37667
247	479.295	1024	3.41333
248	481.337	966	3.22
249	483.379	1016	3.38667
250	485.422	898	2.99333
251	487.464	988	3.29333
252	489.506	915	3.05
253	491.548	917	3.05667
254	493.590	917	3.05667
255	495.632	940	3.13333
256	497.675	892	2.97333
257	499.717	930	3.1
258	501.759	867	2.89
259	503.801	877	2.92333
260	505.843	872	2.90667
261	507.885	853	2.84333
262	509.928	900	3
263	511.970	855	2.85
264	514.012	861	2.87
265	516.054	843	2.81
266	518.096	834	2.78
267	520.138	827	2.75667
268	522.181	833	2.77667
269	524.223	830	2.76667
270	526.265	842	2.80667
271	528.307	832	2.77333
272	530.349	890	2.96667
273	532.391	848	2.82667
274	534.434	828	2.76
275	536.476	802	2.67333
276	538.518	878	2.92667
277	540.560	866	2.88667
278	542.602	870	2.9
279	544.644	803	2.67667
280	546.687	810	2.7
281	548.729	801	2.67
282	550.771	823	2.74333
283	552.813	863	2.87667
284	554.855	843	2.81
285	556.897	846	2.82
286	558.940	794	2.64667
287	560.982	840	2.8
288	563.024	897	2.99
289	565.066	818	2.72667
290	567.108	835	2.78333
291	569.150	865	2.88333
292	571.193	880	2.93333
293	573.235	853	2.84333
294	575.277	921	3.07
