#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2019-09-13, 14:35:32
# Real time (s): 516.628
# Live time (s): 300.000
#
# Total counts:  33020397
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  881395
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
215	413.946	11797	39.3233
216	415.988	12422	41.4067
217	418.030	13341	44.47
218	420.072	14750	49.1667
219	422.114	16058	53.5267
220	424.156	18760	62.5333
221	426.199	21354	71.18
222	428.241	24126	80.42
223	430.283	27414	91.38
224	432.325	30642	102.14
225	434.367	33709	112.363
226	436.409	37653	125.51
227	438.452	41175	137.25
228	440.494	44462	148.207
229	442.536	47569	158.563
230	444.578	50022	166.74
231	446.620	51891	172.97
232	448.662	53911	179.703
233	450.705	54960	183.2
234	452.747	55845	186.15
235	454.789	56035	186.783
236	456.831	56027	186.757
237	458.873	55130	183.767
238	460.916	52704	175.68
239	462.958	50705	169.017
240	465.000	48953	163.177
241	467.042	46269	154.23
242	469.084	43746	145.82
243	471.126	40453	134.843
244	473.169	37862	126.207
245	475.211	35446	118.153
246	477.253	33036	110.12
247	479.295	30713	102.377
248	481.337	28590	95.3
249	483.379	27087	90.29
250	485.422	25889	86.2967
251	487.464	24734	82.4467
252	489.506	24418	81.3933
253	491.548	23573	78.5767
254	493.590	23064	76.88
255	495.632	22190	73.9667
256	497.675	21874	72.9133
257	499.717	21330	71.1
258	501.759	20609	68.6967
259	503.801	19810	66.0333
260	505.843	18923	63.0767
261	507.885	18074	60.2467
262	509.928	16749	55.83
263	511.970	15827	52.7567
264	514.012	14731	49.1033
265	516.054	13491	44.97
266	518.096	12482	41.6067
267	520.138	11347	37.8233
268	522.181	10265	34.2167
269	524.223	9474	31.58
270	526.265	8586	28.62
271	528.307	7628	25.4267
272	530.349	7239	24.13
273	532.391	6932	23.1067
274	534.434	6592	21.9733
